customer_id,DOB,gender,Age (Years),YOB,MOB,address,postcode,state,job_industry_category,job_title,wealth_segment,owns_car,online_order,order_status,brand,product_line,product_class,product_size,tenure,property_valuation,past_3_years_bike_related_purchases,list_price,standard_cost,transaction_date,product_first_sold_date
1,12/10/1953,Female,70,1953,October,060 Morning Avenue,2016,NSW,Health,Executive Secretary,Mass Customer,Yes,FALSE,Approved,OHM Cycles,Standard,medium,medium,11,10,93,235.63,125.07,23/12/2017,10/05/2005
2,16/12/1980,Male,43,1980,December,6 Meadow Vale Court,2153,NSW,Financial Services,Administrative Officer,Mass Customer,Yes,TRUE,Approved,Giant Bicycles,Standard,medium,medium,16,10,81,1403.5,954.82,04/05/2017,29/08/2011
4,03/10/1961,Male,62,1961,October,0 Holy Cross Court,4211,QLD,IT,null,Mass Customer,No,FALSE,Approved,Giant Bicycles,Standard,medium,large,7,9,33,569.56,528.43,03/04/2017,10/09/2003
5,13/05/1977,Female,47,1977,May,17979 Del Mar Point,2448,NSW,n/a,Senior Editor,Affluent Customer,Yes,FALSE,Approved,Norco Bicycles,Road,high,large,8,4,56,774.53,464.72,16/08/2017,19/03/2008
6,16/09/1966,Male,57,1966,September,9 Oakridge Court,3216,VIC,Retail,null,High Net Worth,Yes,FALSE,Approved,Trek Bicycles,Standard,high,medium,13,9,35,358.39,215.03,21/05/2017,06/05/1991
7,23/02/1976,Female,48,1976,February,4 Delaware Trail,2210,NSW,Financial Services,null,Affluent Customer,Yes,FALSE,Approved,Trek Bicycles,Mountain,low,medium,11,9,6,574.64,459.71,21/04/2017,28/09/2004
8,30/03/1962,Male,62,1962,March,49 Londonderry Lane,2650,NSW,n/a,Media Manager I,Mass Customer,No,TRUE,Approved,Norco Bicycles,Standard,low,medium,7,4,31,958.74,748.9,22/09/2017,12/03/2013
9,10/03/1973,Female,51,1973,March,97736 7th Trail,2023,NSW,Argiculture,Business Systems Development Analyst,Affluent Customer,Yes,FALSE,Approved,Solex,Standard,medium,large,8,12,97,1061.56,733.58,10/05/2017,17/06/2015
11,30/04/1954,Male,70,1954,April,93405 Ludington Park,3044,VIC,Property,null,Mass Customer,No,FALSE,Approved,Norco Bicycles,Standard,medium,small,9,8,99,1216.14,1082.36,02/04/2017,05/08/1991
12,21/07/1994,Male,29,1994,July,44339 Golden Leaf Alley,4557,QLD,Manufacturing,Nuclear Power Engineer,Mass Customer,No,FALSE,Approved,Giant Bicycles,Standard,medium,large,8,4,58,1812.75,582.48,21/08/2017,07/06/2010
13,15/02/1955,Male,69,1955,February,2 Sutherland Street,3799,VIC,Financial Services,Developer I,High Net Worth,Yes,FALSE,Approved,Solex,Standard,medium,medium,8,6,38,1163.89,589.27,16/02/2017,09/11/1996
14,25/03/1983,Female,41,1983,March,9 Mcbride Trail,2760,NSW,Financial Services,Account Executive,Affluent Customer,No,TRUE,Approved,OHM Cycles,Standard,medium,medium,6,8,85,183.86,137.9,13/11/2017,04/10/1997
