first_name,last_name,gender,bikes_purchased,DOB,age,age_group,state,job_title,job_industry_category,wealth_segment,owns_car,tenure,tenure_period,property_valuation,valuation_category,predicted_value
Hedwig,Jayme,Female,38,1952-08-21,71.0,above 70,NSW,Accountant IV,Property,Affluent Customer,No,11,'10-15,10,'above 9,99.0
Davide,Senten,Male,22,1941-02-23,83.0,above 70,NSW,Accounting Assistant II,Manufacturing,Mass Customer,No,11,'10-15,9,'above 9,99.0
Chico,Dye,Male,46,1994-02-04,30.0,30-40,NSW,Speech Pathologist,Manufacturing,High Net Worth,No,13,'10-15,9,'above 9,99.0
Benedikta,Naptin,Female,59,1995-08-13,28.0,20-30,NSW,Operator,Retail,Mass Customer,Yes,15,'15-20,11,'above 9,99.0
Nalani,Hallad,Female,15,1999-11-30,24.0,20-30,VIC,Environmental Specialist,Health,Affluent Customer,Yes,9,'5-10,9,'above 9,99.0
Melosa,McOwan,Female,25,2001-04-17,23.0,20-30,NSW,Compensation Analyst,Financial Services,Mass Customer,No,12,'10-15,9,'above 9,99.0
Isak,Bergstram,Male,14,2001-03-08,23.0,20-30,NSW,Pharmacist,Health,Affluent Customer,Yes,15,'15-20,9,'above 9,99.0
Grannie,Cracker,Male,28,1949-03-06,75.0,above 70,QLD,VP Marketing,Retail,Mass Customer,Yes,20,'above 20,8,'6-9,99.0
Gretel,Paschke,Female,10,1956-05-29,67.0,60-70,QLD,Editor,Financial Services,Mass Customer,Yes,17,'15-20,7,'6-9,99.0
Tanner,Terlinden,Male,84,1995-12-09,28.0,20-30,VIC,Nuclear Power Engineer,Manufacturing,Mass Customer,No,14,'10-15,11,'above 9,99.0
Colas,Gabbitas,Male,98,1946-09-09,77.0,above 70,NSW,Staff Scientist,Retail,High Net Worth,No,20,'above 20,9,'above 9,99.0
Gabey,Kennicott,Female,55,1958-05-14,66.0,60-70,NSW,Developer I,Financial Services,Affluent Customer,No,17,'15-20,6,'6-9,99.0
Lavena,Seekings,Female,87,1995-03-25,29.0,20-30,VIC,Payment Adjustment Coordinator,Retail,Mass Customer,No,16,'15-20,10,'above 9,99.0
Renie,Fiveash,Female,92,1992-10-10,31.0,30-40,QLD,Occupational Therapist,Health,High Net Worth,No,16,'15-20,4,'3-6,99.0
Rubia,Evetts,Female,59,1990-12-21,33.0,30-40,NSW,Pharmacist,Health,Mass Customer,No,16,'15-20,9,'above 9,99.0
Carola,Philler,Female,73,1951-04-30,73.0,above 70,NSW,Dental Hygienist,Health,High Net Worth,No,15,'15-20,7,'6-9,99.0
Rodney,Trethewey,Male,16,1997-03-17,27.0,20-30,VIC,Software Consultant,Financial Services,Affluent Customer,No,15,'15-20,8,'6-9,99.0
Ross,Vidgen,Male,17,1947-12-28,76.0,above 70,QLD,VP Sales,Retail,Affluent Customer,No,12,'10-15,9,'above 9,99.0
Shadow,Yakutin,Male,85,1967-02-03,57.0,50-60,QLD,Software Test Engineer IV,Health,Affluent Customer,Yes,6,'5-10,2,bellow 3,99.0
